INFO  - 2017-11-13 10:28:23.301; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/dist/solr-cell-4.10.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.303; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.303; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.304; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2017-11-13 10:28:23.304; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-11-13 10:28:23.304; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2017-11-13 10:28:23.310; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.311; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2017-11-13 10:28:23.311; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-11-13 10:28:23.313; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/dist/solr-clustering-4.10.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.315; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2017-11-13 10:28:23.315; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-11-13 10:28:23.316; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/dist/solr-langid-4.10.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.317; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/velocity/lib/commons-beanutils-1.8.3.jar' to classloader
INFO  - 2017-11-13 10:28:23.320; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/velocity/lib/commons-collections-3.2.1.jar' to classloader
INFO  - 2017-11-13 10:28:23.321; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/velocity/lib/velocity-1.7.jar' to classloader
INFO  - 2017-11-13 10:28:23.322; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/contrib/velocity/lib/velocity-tools-2.0.jar' to classloader
INFO  - 2017-11-13 10:28:23.323; org.apache.solr.core.SolrResourceLoader; Adding 'file:/Users/apple/profile/django_by_example/dev/solr-4.10.4/dist/solr-velocity-4.10.4.jar' to classloader
INFO  - 2017-11-13 10:28:23.480; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-11-13 10:28:23.489; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.4
INFO  - 2017-11-13 10:28:23.721; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-11-13 10:28:23.732; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /Users/apple/profile/django_by_example/dev/solr-4.10.4/example/solr/collection1/conf/schema.xml
INFO  - 2017-11-13 10:28:23.846; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2017-11-13 10:28:24.710; org.apache.solr.schema.IndexSchema; unique key field: id
